Clt_No,Po_No,Accumulate,Surveyor,Survey_date,Insured_name,Risk_location,DIV,CTR,CLS,STT,Effective_date,Inception_date,Renew_date,Contract_type,Rkn,Risk_type,Original_SI,VND_SI,Survey date1,Survey date 2,Survey date 3,Survey date 4,Survey date 5,Survey date 6,Survey date 7,Survey date 8,Survey date 9,Fire code,Agent name,Occupation,Business Line,Remark,Month,Year
10021972,20048389,BDBCMPTOYO,MCN,05/10/2022,TOYOTA TSUSHO FASHION EXPRESSVIETNAM COMPANY LIMITED,"TOYOTA TSUSHO FASHION EXPRESS VIETNAM Co., Ltd, B_3B4_CN, My Phuoc 3 IZ, Thoi Hoa Ward, Ben Catwn, Binh Duong",VC,JPN,D,IF,23/01/2021,23/01/2021,22/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"51,239,496,507.00","51,239,496,507.00",,,,,,,,,,18.1AB,TOYOTA TSUSHO-BRK-VC,Garments (uniform and Sport Casual Production),  ,,10,2022
10012047,20031615,HNDTDV2NIS,,,"NISSHO VIETNAM CO., LTD","NISSHO VIETNAM CO., LTD, Dong Van 2 IZ, Duy Tien, Ha Nam",VH,JPN,E,IF,24/01/2021,24/01/2021,23/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"118,719,073,608.00","118,719,073,608.00",20191126,,20191126,,,,,,,18.1AB,DIRECT HANOI,Manufacture of motor parts,  ,,,
10012244,20031611,HNDAP-6B25,,,"OB KOGYO CO., LTD (VN)","OB KOGYO CO., LTD (VN), SF Bld No. 25, Lot P-6B Thang Long IP, Dong Anh, Ha Noi",VH,JPN,E,IF,25/01/2021,25/01/2021,24/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"19,905,956,895.00","19,905,956,895.00",,,,,,,,,,18.1AB,DIRECT HANOI,Manufacture spare parts in plastic,Manufacture spare parts in plastic  ,,,
10000694,20019839,SGD7TTTANA,MCN,02/12/2022,"TANAKA CO.,LTD","TANAKA CO., LTD., Road No 6, Tan Thuan EPZ, District 7, HCMC",VC,JPN,D,IF,26/01/2021,25/01/2021,24/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"4,193,743.00","97,127,087,880.00",20190114,,20190114,,,,,,,18.1AB,DIRECT HCM,Production of alcohol and others,Production of alcohol and others  ,,12,2022
10007383,20045738,SGTDLTSAGA,VKH,18/01/2022,SG SAGAWA VIET NAM,"SAGAWA EXPRESS VIETNAM, Lot 117, Linh Trung EPZ, Thu Duc, HCMC",VC,JPN,D,IF,27/01/2021,27/01/2021,26/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"4,409,643.00","101,928,897,945.00",,,,,,,,,,17.1B,DIRECT HCM,Warehousing & Transportation,  ,,1,2022
10005953,20019737,DNLTLDIPH5,NNH,23/09/2022,"KOATSU GAS KOGYO VIETNAM CO.,LTD","KOATSU GAS KOGYO VIETNAM Co., Ltd., Lot No H-5, Long Duc IP, Long Thanh, Dong Nai",VC,JPN,E,IF,29/01/2021,29/01/2021,28/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"10,490,000.00","242,004,300,000.00",20190710,,20190710,,,20161014,,,,18.1AB,DIRECT HCM,Manufacturing and distribution of bond,  ,,9,2022
10000972,20014563,LABLPATVIN,NNH,19/10/2022,"VINA ECO BOARD CO., LTD","VINA ECO BOARD CO., LTD., D2-D7 Phu An Thanh IP,An Thanh,Ben Luc Dist., Long An",VC,JPN,E,IF,01/02/2021,31/01/2021,30/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"1,919,346,688,424.00","1,919,346,688,424.00",20190620,,20190620,20180711,20170707,,,,,18.1BB,AON-BRK-VC,As mentioned below,"Principally manufacturing, processing and trading all kinds of wooden products including raw particle board and all other activities incidental thereto",,10,2022
10045531,20086554,LADHDINGTA,NNH,10/10/2022,DINGTAI INDUSTRIAL COMPANY LIMITED,"DINGTAI INDUSTRIAL COMPANY LIMITED, Lot B05-1, Duc Hoa 1 IZ, Duc Hoa Dong, Duc Hoa Dis, Long An",MS,CNY,E,IF,01/02/2021,01/02/2021,31/01/2022,FEC - FIRE AND EXPL COMP,1,FEC - COMPULSORY FIRE and EXPLOSION,"112,244,079,964.00","112,244,079,964.00",,,,,,,,,,18.1AB,DIRECT-TAIWAN SOUTH ,Plastic outsole,  ,,10,2022
10003698,20012882,HPHADVIZYU,,,"INSTANTA VIETNAM CO., LTD","YUSEN LOGISTICS (VIETNAM) - WAREHOUSE, Lot CN3.3C, Dinh Vu IZ, Hai An, Hai Phong",VH,POL,E,IF,01/02/2021,01/02/2021,31/01/2022,ISR - INDUSTRIAL ALL RISKS,3,ARB - PROPERTY ALL RISKS,"1,691,919.00","39,032,571,330.00",,,,,,,,,,18.1AB,DIRECT HANOI,As mentioned above,Processing and packing of instant coffee to export  ,,,
10000640,20048523,SGD7TTKEEN,CA,,"KEEN CHING ZIPPER CO.,LTD","KEEN CHING ZIPPER CO.,LTD, Road 16,Tan Thuan EPZ, District 7, HCMC",MS,TWN,D,IF,01/02/2021,01/02/2021,31/01/2022,FEC - FIRE AND EXPL COMP,1,FEC - COMPULSORY FIRE and EXPLOSION,"5,300,000.00","121,741,000,000.00",,,,,,,,,,18.2A,DIRECT-TAIWAN SOUTH ,Zipper,  ,Lapsed,,
10000317,20001031,HNDATLSUMI,TDH,15/06/2022,"SUMITOMO NACCO FORKLIFT VIETNAM CO.,LTD","Sumitomo NACCO Materials Handling (Vietnam) Co.,, Lot M1, Thang Long IZ, Dong Anh, Ha Noi",VH,JPN,C,IF,14/09/2021,01/02/2021,31/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"550,428,060,533.00","550,428,060,533.00",20180806,,,20180806,,,,,,18.2A,AEGIS INS BROKERS-BRK-VH,As described above,"Manufacturing Forklift Component (Machining, Assembly) and other related activities ",,6,2022
10060194,20087239,VPBXTLID10,NTT,16/02/2022,"TOHKEN VIETNAM MANUFACTURING CO.,LTD.","TOHKEN VIETNAM MANUFACTURING, Lot D10-11-12, Thang Long Vinh Phuc IZ, Thien Ke, Vinh Phuc",VH,JPN,E,IF,01/02/2021,01/02/2021,31/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"8,700,000.00","200,970,000,000.00",,,,,,,,,,18.1AB,DIRECT HANOI,Manufacture spare parts in plastic,  ,,2,2022
10000738,20002578,HPNQLLSUMI,CA,,SUMITOMO CORPORATION ASIA & OCEANIA PTE LTD,"VIETRANS HAIPHONG WAREHOUSE, 142 Le Lai, Ngo Quyen, Hai Phong",VH,JPN,D,IF,02/02/2021,02/02/2021,01/02/2022,ARC - PROPERTY ALL RISKS,1,ARB - PROPERTY ALL RISKS,"800,000.00","18,508,000,000.00",,,,,,,,,,17.2A,DIRECT HANOI,Warehouse: Aluminum ingot,  ,"Low SI, as per new guideline",,
10000745,20002615,HPADNOKONY,NTT,21/09/2022,"KONYA PAPER VIETNAM CO., LTD","KONYA PAPER VIETNAM Co., LTD, Land Plot F-11a, Nomura IZ, An Duong, Hai Phong",VH,JPN,E,IF,11/02/2021,08/02/2021,07/02/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"1,769,291.00","40,826,389,825.00",20180208,,,20180208,,,20151118,,20130314,18.1AB,DIRECT HANOI,Cutting & Packing Towel Paper,  ,,9,2022
